Stim,Arousal,Mem
1303,4.98,0.88916719
1310,3.62,0.701206684
1313,3.38,0.724953234
1321,2.12,0.915339708
1450,1.8,0.777708471
1510,3.03,0.759850144
1540,4.16,0.733750284
1560,3.26,0.73982203
1590,2.45,0.697184563
1602,4.24,0.638698041
1610,3.84,0.902387738
1616,2.93,0.866070509
1640,4.17,0.852387607
1650,4.44,0.836122572
1660,2.04,0.883138359
1670,2.52,0.737497509
1720,2.88,0.832584023
1740,2.52,0.790848851
1810,3.37,0.883783817
1811,3.12,0.863979459
1850,3.48,0.530782163
1900,2.32,0.773459136
1910,3.33,0.700084031
1942,3.04,0.869056523
2000,2.5,0.861756563
2010,2.08,0.85065788
2020,1.44,0.866945684
2030,3,0.86350441
2092,3.93,0.828785837
2100,3.06,0.820289612
2110,4.4,0.877601624
2130,2.62,0.855153203
2170,3.52,0.833821535
2190,2.41,0.82939285
2200,2.15,0.85874337
2206,2.56,0.911480069
2210,1.87,0.84899801
2214,2.44,0.91497618
2215,2.08,0.956445754
2220,3.88,0.833736598
2221,2.72,0.893267989
2240,2.46,0.800114989
2260,7.1,0.761156559
2270,2.35,0.891784012
2271,2.16,0.90870899
2280,2.22,0.861958325
2312,3.24,0.856521845
2320,2.95,0.755370378
2351,3.09,0.893317401
2372,2.24,0.803057611
2381,2.36,0.723516881
2383,2.76,0.884610832
2385,2.4,0.767629325
2389,4.69,0.764855087
2410,2.89,0.866802335
2440,2.42,0.915071428
2480,2.44,0.75942874
2485,2.28,0.761432767
2487,2.35,0.843972147
2490,1.64,0.717778087
2495,2.39,0.862127483
2514,4.39,0.860194206
2516,2.55,0.904271066
2518,3.08,0.700366735
2520,2.7,0.848836124
2560,3.92,0.678052843
2570,2.29,0.822557032
2575,2,0.719841003
2580,4.8,0.691209137
2590,2,0.706038237
2600,2.92,0.726111889
2616,3.29,0.895338893
2620,2.52,0.877538502
2630,3.24,0.901514828
2650,3.31,0.802111447
2661,5.04,0.845091939
2681,3.36,0.757742107
2682,2.44,0.78357321
2690,3.24,0.728072107
2702,3.68,0.71436739
2720,3.68,0.89094764
2722,2.76,0.868235826
