ID,MemoryType,Valence,Avg_Confidence
1,ON,Negative,1.6
1,ON,Neutral,2.066666666666667
1,OO,Negative,1.8974358974358974
1,OO,Neutral,2.048780487804878
2,ON,Negative,2.085714285714286
2,ON,Neutral,2.1555555555555554
2,OO,Negative,2.3157894736842106
2,OO,Neutral,2.261904761904762
4,ON,Negative,1.542857142857143
4,ON,Neutral,1.911111111111111
4,OO,Negative,1.837837837837838
4,OO,Neutral,1.9285714285714286
5,ON,Negative,1.3235294117647058
5,ON,Neutral,1.4782608695652173
5,OO,Negative,1.4473684210526316
5,OO,Neutral,1.642857142857143
6,ON,Negative,1.8285714285714285
6,ON,Neutral,2.422222222222222
6,OO,Negative,1.972972972972973
6,OO,Neutral,2.6744186046511627
8,ON,Negative,1.7714285714285714
8,ON,Neutral,2.0444444444444443
8,OO,Negative,1.8974358974358974
8,OO,Neutral,2.1463414634146343
9,NN,Neutral,3
9,ON,Negative,2.8
9,ON,Neutral,2.5
9,OO,Negative,2.230769230769231
9,OO,Neutral,2.4390243902439024
12,ON,Negative,1.7142857142857142
12,ON,Neutral,1.8222222222222222
12,OO,Negative,2.175
12,OO,Neutral,1.875
14,ON,Negative,1.9714285714285715
14,ON,Neutral,1.8666666666666667
14,OO,Negative,1.85
14,OO,Neutral,1.925
15,ON,Negative,1.7428571428571429
15,ON,Neutral,1.4
15,OO,Negative,1.675
15,OO,Neutral,1.5
16,ON,Negative,1.8285714285714287
16,ON,Neutral,1.8888888888888888
16,OO,Negative,2
16,OO,Neutral,2.3658536585365852
17,ON,Negative,2.9705882352941178
17,ON,Neutral,2.9565217391304346
17,OO,Negative,2.8
17,OO,Neutral,2.825
19,ON,Negative,1.6944444444444442
19,ON,Neutral,1.6136363636363638
19,OO,Negative,1.8999999999999997
19,OO,Neutral,1.8
20,ON,Negative,1.9714285714285715
20,ON,Neutral,1.8666666666666667
20,OO,Negative,1.85
20,OO,Neutral,1.925
21,ON,Negative,2.676470588235294
21,ON,Neutral,2.608695652173913
21,OO,Negative,1.7894736842105263
21,OO,Neutral,1.9047619047619047
23,ON,Negative,1.7058823529411764
23,ON,Neutral,1.9130434782608696
23,OO,Negative,2.3589743589743586
23,OO,Neutral,2.4146341463414633
24,ON,Negative,1.6176470588235294
24,ON,Neutral,1.565217391304348
24,OO,Negative,1.6578947368421053
24,OO,Neutral,1.7380952380952381
27,ON,Negative,1.6857142857142857
27,ON,Neutral,1.8444444444444446
27,OO,Negative,1.8157894736842106
27,OO,Neutral,2.0952380952380953
28,ON,Negative,1.657142857142857
28,ON,Neutral,1.6444444444444444
28,OO,Negative,1.6052631578947367
28,OO,Neutral,1.7857142857142858
29,ON,Negative,1.2
29,ON,Neutral,1.5333333333333334
29,OO,Negative,1.3783783783783785
29,OO,Neutral,1.9534883720930232
30,ON,Negative,1.7142857142857142
30,ON,Neutral,1.7777777777777777
30,OO,Negative,1.5
30,OO,Neutral,1.857142857142857
31,ON,Negative,1.6111111111111114
31,ON,Neutral,1.5909090909090908
31,OO,Negative,1.95
31,OO,Neutral,1.775
33,ON,Negative,2.3142857142857145
33,ON,Neutral,2.4
33,OO,Negative,2.41025641025641
33,OO,Neutral,2.45
34,ON,Negative,1.9411764705882353
34,ON,Neutral,1.8695652173913042
34,OO,Negative,1.925
34,OO,Neutral,2
35,ON,Negative,1.4705882352941178
35,ON,Neutral,1.565217391304348
35,OO,Negative,1.65
35,OO,Neutral,2.025
36,ON,Negative,1.9705882352941178
36,ON,Neutral,1.8478260869565217
36,OO,Negative,1.8461538461538463
36,OO,Neutral,2.048780487804878
37,ON,Negative,1.7428571428571429
37,ON,Neutral,1.711111111111111
37,OO,Negative,2.1025641025641026
37,OO,Neutral,2.1219512195121952
38,ON,Negative,2.2285714285714286
38,ON,Neutral,2.2888888888888888
38,OO,Negative,1.9473684210526316
38,OO,Neutral,1.8571428571428572
39,ON,Negative,1.8611111111111112
39,ON,Neutral,1.8636363636363638
39,OO,Negative,1.7
39,OO,Neutral,1.875
40,ON,Negative,1.8285714285714285
40,ON,Neutral,1.6956521739130435
40,OO,Negative,2.1842105263157894
40,OO,Neutral,1.9024390243902438
43,ON,Negative,1.1176470588235294
43,ON,Neutral,1.3478260869565217
43,OO,Negative,1.1842105263157894
43,OO,Neutral,1.4285714285714286
44,ON,Negative,1.6
44,ON,Neutral,1.422222222222222
44,OO,Negative,1.575
44,OO,Neutral,1.65
45,ON,Negative,1.5714285714285716
45,ON,Neutral,1.711111111111111
