L_Scene,R_Scene,Points_L,Points_R,PtTotal,blockFile,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Encoding_Loop.thisRepN,Practice_Encoding_Loop.thisTrialN,Practice_Encoding_Loop.thisN,Practice_Encoding_Loop.thisIndex,Practice_Response_Fail_Loop.thisRepN,Practice_Response_Fail_Loop.thisTrialN,Practice_Response_Fail_Loop.thisN,Practice_Response_Fail_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,Practice_Attention_Loop.thisRepN,Practice_Attention_Loop.thisTrialN,Practice_Attention_Loop.thisN,Practice_Attention_Loop.thisIndex,Practice_EncBrk_Loop.thisRepN,Practice_EncBrk_Loop.thisTrialN,Practice_EncBrk_Loop.thisN,Practice_EncBrk_Loop.thisIndex,Encoding_Loop.thisRepN,Encoding_Loop.thisTrialN,Encoding_Loop.thisN,Encoding_Loop.thisIndex,EncStim_Loop.thisRepN,EncStim_Loop.thisTrialN,EncStim_Loop.thisN,EncStim_Loop.thisIndex,Response_Fail_Loop.thisRepN,Response_Fail_Loop.thisTrialN,Response_Fail_Loop.thisN,Response_Fail_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,Attention_Loop.thisRepN,Attention_Loop.thisTrialN,Attention_Loop.thisN,Attention_Loop.thisIndex,EncBrk_Loop.thisRepN,EncBrk_Loop.thisTrialN,EncBrk_Loop.thisN,EncBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.started,Encoding_Resp.keys,Encoding_Resp.rt,R_Point_FB_Stim.started,Attn_resp.keys,Attn_resp.rt,Progress_Tracker.started,EncBrk_Resp.keys,EncBrk_Resp.rt,Encoding_Resp.stopped,participant,Group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.458050665998599,,,,,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
A060.jpg,F041.jpg,5 Points,5 Points,5 Points,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.9653017090022,q,3.477473708000616,1066.6024216680016,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
O161.jpg,1812.jpg,2 Points,2 Points,7 Points,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070.7705122510015,q,1.1196870830026455,1072.034536168001,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
O013.jpg,A001.jpg,3 Points,3 Points,10 Points,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076.2111717510052,p,1.5351388740018592,1077.9237624180023,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
P036.jpg,F273.jpg,5 Points,5 Points,15 Points,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.0496841260028,q,2.0477495829982217,1084.2637953759986,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
L130.jpg,2393.jpg,0 Points,0 Points,15 Points,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.4113224180037,q,1.7349089159979485,1090.2845026680006,0,4.017180666000058,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
F279.jpg,P033.jpg,3 Points,3 Points,18 Points,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098.5944432510005,q,2.134337998999399,1100.8719178760002,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
A104.jpg,2593.jpg,2 Points,2 Points,20 Points,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105.0620000010022,q,2.411908250003762,1107.6058806680012,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2598.jpg,2605.jpg,0 Points,0 Points,20 Points,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.779124667999,p,1.0298349580043578,1112.907593543001,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
L005.jpg,O011.jpg,1 Points,1 Points,21 Points,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117.1284629180009,q,1.7533842910052044,1119.026741501002,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
8186.jpg,F078.jpg,2 Points,2 Points,23 Points,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1123.2117830839998,q,1.758102207997581,1125.1023610839984,2,1.8703848750010366,1137.2048341260015,space,25.458961625001393,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.475990916005685,,,,,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
7284.jpg,8021.jpg,4 Points,4 Points,4 Points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1175.8530082510042,p,1.0273961249986314,1176.9758689180017,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
