ID,d,c,MemoryType
1,0.061,-7e-4,ON
2,0.49,-0.025,ON
4,0.32,-0.13,ON
5,1.33,-0.13,ON
6,0.62,-0.15,ON
8,0.75,-0.023,ON
9,-0.02,-0.14,ON
12,0.25,0.1,ON
14,-0.13,-0.094,ON
15,-0.058,-0.061,ON
16,0.37,-0.027,ON
17,-0.25,0.096,ON
19,0.12,0.029,ON
20,-0.13,-0.094,ON
21,0.0045,-0.092,ON
23,0.75,-0.066,ON
24,0.38,-0.25,ON
27,0.058,-0.061,ON
28,-0.18,-0.12,ON
29,0.31,-0.058,ON
30,0.88,-0.09,ON
31,0.25,0.034,ON
33,0.56,0.057,ON
34,0.29,-0.11,ON
35,0.36,-0.08,ON
36,0.76,-0.22,ON
37,0.81,0.15,ON
38,0.13,0.16,ON
39,0.12,-0.032,ON
40,0.33,0.044,ON
43,-0.12,-0.029,ON
44,0.25,0.034,ON
45,0.43,0.0053,ON
46,-0.16,0.2,ON
47,0.27,0.02,ON
48,0.19,-0.13,ON
50,0.18,0.059,ON
51,0.49,-0.025,ON
52,0.69,-0.074,ON
53,0.37,-0.22,ON
55,0.46,0.26,ON
56,0.37,0.089,ON
57,0.24,-0.09,ON
59,0.58,-0.2,ON
60,0.37,-0.089,ON
61,0.43,0.12,ON
62,-0.017,-0.34,ON
63,-0.3,-0.12,ON
64,0.49,-0.089,ON
65,0.12,-0.032,ON
1,0.62,-0.024,OO
2,0.56,-0.057,OO
4,1.01,0.13,OO
5,1.9,-0.065,OO
6,1.21,-0.32,OO
8,0.32,0.13,OO
9,0.89,-0.16,OO
12,0.91,0.18,OO
14,-0.049,0.31,OO
15,0.061,7e-4,OO
16,0.24,-0.15,OO
17,0.077,0.16,OO
19,0.69,0.0087,OO
20,-0.049,0.31,OO
21,0.57,0.14,OO
23,1.26,0.17,OO
24,0.62,-0.024,OO
27,0.62,-0.024,OO
28,0.18,0.0022,OO
29,0.58,0.18,OO
30,0.5,0.1,OO
31,0.56,0.071,OO
33,1.42,-0.29,OO
34,-0.0075,-0.15,OO
35,0.49,-0.089,OO
36,0.19,0.0637,OO
37,1.13,0.23,OO
38,0.45,0.2,OO
39,0.26,0.22,OO
40,0.95,0.14,OO
43,0.12,0.032,OO
44,0.44,0.13,OO
45,1.02,0.049,OO
46,0.26,0.16,OO
47,1.38,-0.13,OO
48,0.82,0.077,OO
50,0.79,0.24,OO
51,0.69,0.0087,OO
52,0.7,0.14,OO
53,1.26,0.17,OO
55,0.18,-0.12,OO
56,1.16,-0.09,OO
57,0.99,0.22,OO
59,0.43,-0.021,OO
60,0.95,-0.056,OO
61,-0.068,-0.12,OO
62,0.5,0.038,OO
63,-0.056,0.12,OO
64,0.08,0.31,OO
65,0.79,0.24,OO
