L_Scene,R_Scene,L_Pts,R_Pts,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Recognition_Loop.thisRepN,Practice_Recognition_Loop.thisTrialN,Practice_Recognition_Loop.thisN,Practice_Recognition_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,RecStim_Loop.thisRepN,RecStim_Loop.thisTrialN,RecStim_Loop.thisN,RecStim_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,RecBrk_Loop.thisRepN,RecBrk_Loop.thisTrialN,RecBrk_Loop.thisN,RecBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.keys,Encoding_Resp.rt,EncBrk_Resp.keys,EncBrk_Resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.039119207998738,,,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
F078.jpg,L130.jpg,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,2.6388484579947544,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
P036.jpg,P217.jpg,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,k,3.216252665995853,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
O161.jpg,F218.jpg,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,a,3.2418002920021536,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
F279.jpg,A001.jpg,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,j,4.835475625004619,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
F273.jpg,A060.jpg,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,d,2.587507333009853,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
2393.jpg,L055.jpg,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,d,3.0166950420098146,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
1812.jpg,2593.jpg,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,k,4.452141125002527,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
O013.jpg,A067.jpg,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,j,3.713348125005723,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
P033.jpg,P034.jpg,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,s,3.1685133749997476,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
A104.jpg,8186.jpg,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,k,2.1869851669907803,,,30,2024-11-14_08h04.30.003,EPIDM,2023.1.2,60.0482639132081,
