ID,MemoryType,Valence,AbsDiff,Accuracy
1,OO,Neutral,1,0
1,ON,Negative,5,0
1,OO,Negative,4,1
1,ON,Neutral,3,0
1,OO,Neutral,5,1
1,ON,Neutral,5,1
1,OO,Negative,1,1
1,ON,Neutral,3,0
1,OO,Negative,1,1
1,ON,Negative,1,1
1,OO,Neutral,3,1
1,ON,Negative,3,0
1,OO,Negative,4,1
1,ON,Neutral,1,0
1,OO,Neutral,1,0
1,ON,Negative,3,0
1,OO,Neutral,1,1
1,ON,Negative,5,1
1,OO,Negative,4,1
1,ON,Negative,1,0
1,OO,Negative,1,0
1,ON,Neutral,1,0
1,OO,Neutral,3,1
1,ON,Negative,1,0
1,OO,Negative,1,0
1,ON,Negative,5,0
1,OO,Negative,1,0
1,ON,Neutral,5,0
1,OO,Neutral,3,0
1,ON,Neutral,5,0
1,OO,Neutral,2,1
1,ON,Neutral,3,0
1,OO,Negative,4,1
1,ON,Neutral,5,0
1,OO,Negative,1,0
1,ON,Neutral,5,1
1,OO,Neutral,5,1
1,ON,Neutral,5,0
1,OO,Negative,2,1
1,ON,Negative,3,1
1,OO,Negative,4,1
1,ON,Neutral,5,1
1,OO,Neutral,2,1
1,ON,Negative,3,1
1,OO,Neutral,3,1
1,ON,Neutral,3,0
1,OO,Negative,2,0
1,ON,Neutral,3,1
1,OO,Negative,1,0
1,ON,Neutral,3,0
1,OO,Neutral,3,1
1,ON,Neutral,1,0
1,OO,Negative,2,0
1,ON,Neutral,3,1
1,OO,Neutral,1,0
1,ON,Neutral,5,1
1,OO,Negative,1,0
1,ON,Neutral,3,0
1,OO,Neutral,4,1
1,ON,Negative,3,0
1,OO,Negative,2,1
1,ON,Neutral,5,1
1,OO,Negative,3,1
1,ON,Neutral,5,0
1,OO,Neutral,1,1
1,ON,Neutral,5,0
1,OO,Neutral,4,1
1,ON,Negative,1,0
1,OO,Neutral,2,1
1,ON,Negative,1,0
1,OO,Negative,1,1
1,ON,Neutral,1,1
1,OO,Neutral,1,0
1,ON,Negative,1,1
1,OO,Neutral,2,1
1,ON,Neutral,3,1
1,OO,Negative,1,1
1,ON,Neutral,1,1
1,OO,Neutral,1,1
1,ON,Neutral,5,0
1,OO,Neutral,3,1
1,ON,Neutral,3,0
1,OO,Negative,3,0
1,ON,Neutral,5,0
1,OO,Negative,3,1
1,ON,Neutral,5,1
1,OO,Neutral,3,1
1,ON,Neutral,1,1
1,OO,Neutral,2,1
1,ON,Neutral,1,1
1,OO,Negative,3,1
1,ON,Negative,5,0
1,OO,Negative,2,1
1,ON,Neutral,5,1
1,OO,Neutral,4,1
1,ON,Neutral,5,0
1,OO,Negative,1,1
1,ON,Neutral,5,1
1,OO,Neutral,1,1
1,ON,Negative,3,1
1,OO,Neutral,5,1
1,ON,Neutral,1,0
1,OO,Negative,2,0
1,ON,Neutral,3,1
1,OO,Neutral,4,0
1,ON,Negative,1,1
1,OO,Negative,3,1
1,ON,Negative,3,0
1,OO,Neutral,3,0
1,ON,Negative,1,1
1,OO,Neutral,1,1
1,ON,Negative,3,0
1,OO,Negative,3,1
1,ON,Negative,5,1
1,OO,Negative,2,0
1,ON,Negative,3,1
1,OO,Neutral,1,0
1,ON,Neutral,5,1
1,OO,Neutral,4,0
1,ON,Neutral,5,1
